time,open,close,high,low,volume
1535314140000,0.042497,0.043,0.043,0.042497,5010.0
1535318940000,0.042999,0.043279000000000005,0.043279000000000005,0.042999,800.29775425
1535320320000,0.043278,0.043279000000000005,0.043279000000000005,0.043278,720.47839766
1535358900000,0.0433,0.0433,0.0433,0.0433,10000.0
1535369400000,0.040048,0.040048,0.040048,0.040048,302.0
1535369580000,0.042,0.042,0.042,0.042,302.0
1535385780000,0.044,0.0452,0.0452,0.044,5000.0
1535399280000,0.045,0.0452,0.0452,0.045,975.75613202
1535402220000,0.0452,0.0452,0.0452,0.0452,467.5764093
1535402280000,0.048999,0.0688,0.0688,0.048999,12000.0
1535402340000,0.044,0.044,0.044045,0.044,3808.03908168
1535403300000,0.044598,0.044598,0.044598,0.044598,592.40586775
1535408340000,0.044598,0.044598,0.044598,0.044598,7.27135793
1535409000000,0.0441,0.042179,0.0441,0.042179,9523.8095238
1535409060000,0.042179,0.042,0.042179,0.042,2380.95238095
1535418000000,0.04411,0.04411,0.04411,0.04411,2050.0
1535419380000,0.04411,0.04411,0.04411,0.04411,450.0
1535437320000,0.061759,0.061759,0.061759,0.061759,350.0
1535437680000,0.0442,0.0442,0.0442,0.0442,4990.0
1535437860000,0.0442,0.044,0.0442,0.044,2651.37193778
1535437920000,0.044,0.04439,0.04439,0.044,3420.62
1535438280000,0.0444,0.044,0.0444,0.044,1050.08
1535438700000,0.044,0.043008,0.044,0.043008,4999.98
1535441160000,0.047,0.047,0.047,0.047,23000.0
1535442180000,0.045,0.045,0.045,0.045,21550.14666666
1535442240000,0.045,0.045,0.045,0.045,946.331
1535443980000,0.044958,0.044001,0.044958,0.044001,5626.097193899999
1535449440000,0.044001,0.044001,0.044001,0.044001,440.44587624
1535449800000,0.044001,0.044001,0.044001,0.044001,1000.0
1535453700000,0.05438200000000002,0.05438200000000002,0.05438200000000002,0.05438200000000002,310.0
1535453820000,0.044002,0.044001,0.044002,0.044001,589.1
1535460180000,0.046,0.046,0.046,0.046,1642.0
1535460960000,0.045444,0.045444,0.045444,0.045444,5039.1822713
1535465820000,0.05,0.05,0.05,0.05,5028.0622606000015
1535474100000,0.048,0.048,0.048,0.048,3340.55530854
1535474580000,0.0495,0.0495,0.0495,0.0495,2000.0
1535475300000,0.04777,0.04777,0.04777,0.04777,15000.0
1535488860000,0.05,0.05,0.05,0.05,1337.21475323
1535488980000,0.05438200000000002,0.057054,0.057054,0.05438200000000002,3097.24391643
1535489160000,0.057028,0.057028,0.057028,0.057028,995.80480917
1535489520000,0.056888,0.056888,0.056888,0.056888,5000.0
1535491500000,0.048465,0.048465,0.048465,0.048465,892.96730736
1535492580000,0.0495,0.0495,0.0495,0.0495,490.89354141
1535501820000,0.049806,0.049806,0.049806,0.049806,834.58853793
1535502900000,0.049806,0.049806,0.049806,0.049806,40.16246207
1535503380000,0.048678,0.047597,0.048678,0.047597,13039.70991843
1535503980000,0.046103,0.046103,0.046103,0.046103,1000.0
1535510820000,0.046262,0.04605,0.046262,0.04605,16326.24
1535510880000,0.045877,0.045877,0.045877,0.045877,2000.0
1535517780000,0.049801,0.049801,0.049801,0.049801,400.0
1535517840000,0.049801,0.049801,0.049801,0.049801,500.0
1535531040000,0.047299,0.047299,0.047299,0.047299,10000.0
1535552820000,0.04911,0.04911,0.04911,0.04911,1000.0
1535555760000,0.045555,0.044363,0.045555,0.044363,24501.32224227
1535555820000,0.044363,0.044363,0.044363,0.044363,8441.04396063
1535556000000,0.044363,0.044363,0.044363,0.044363,8452.99010437
1535556060000,0.044363,0.044,0.044363,0.044,13583.61287663
1535558580000,0.04371,0.04371,0.04371,0.04371,5000.0
1535558640000,0.04364,0.04364,0.04364,0.04364,658.11347868
1535558700000,0.0439,0.0439,0.0439,0.0439,2306.116
1535562360000,0.045,0.045,0.045,0.045,2883.163
1535562420000,0.045,0.045,0.045,0.045,731.8530000000003
1535562480000,0.045,0.045,0.045,0.045,33430.622390720004
1535562600000,0.045,0.045,0.045,0.045,12553.6034
1535562660000,0.045,0.045,0.045,0.045,11569.39910106
1535562900000,0.045,0.045,0.045,0.045,1000.0
1535565000000,0.045,0.045,0.045,0.045,1000.0
1535565060000,0.045,0.045,0.045,0.045,2500.0
1535569800000,0.0439,0.0439,0.0439,0.0439,25.884
1535570280000,0.045,0.043191,0.045,0.043191,1998.0
1535573700000,0.043537,0.043091,0.043537,0.043091,999.0
1535574360000,0.043051,0.043051,0.043051,0.043051,489.91175433
1535574600000,0.044901,0.045,0.045,0.044901,3346.1165359999995
1535575380000,0.045,0.045,0.045,0.045,8355.801
1535575800000,0.045,0.045,0.045,0.045,8286.92654468
1535575860000,0.045,0.045,0.045,0.045,11573.740495360002
1535575920000,0.045,0.045,0.045,0.045,9278.14569536
1535576340000,0.045,0.045,0.045,0.045,60023.04807696
1535576400000,0.045,0.045,0.045,0.045,43822.60459336
1535607300000,0.044,0.043576,0.044,0.043576,1257.73847748
1535607840000,0.043567,0.043574,0.043574,0.043567,2108.98927755
1535607900000,0.043554,0.043554,0.043554,0.043554,2000.0
1535612100000,0.043115,0.043115,0.043115,0.043115,2500.0
1535613540000,0.048212,0.048212,0.048212,0.048212,5000.0
1535619300000,0.04312,0.04312,0.04312,0.04312,4066.70669202
1535621220000,0.04609,0.04609,0.04609,0.04609,432.06631330000016
1535622300000,0.042002,0.042002,0.042002,0.042002,324.67926193
1535625480000,0.042007,0.042001,0.042007,0.042001,11049.42860955
1535628840000,0.046085,0.046085,0.046085,0.046085,2000.0
1535629260000,0.042006,0.042,0.042006,0.042,14940.0102457
1535629380000,0.042,0.042,0.042,0.042,1023.74745805
1535638020000,0.040048,0.040048,0.040048,0.040048,900.0
1535638320000,0.041877,0.041877,0.041877,0.041877,900.0
1535638500000,0.040048,0.040048,0.040048,0.040048,898.2
1535638680000,0.041877,0.041877,0.041877,0.041877,885.475
1535648820000,0.0425,0.0425,0.0425,0.0425,350.0
1535649000000,0.0425,0.0425,0.0425,0.0425,349.65
1535649300000,0.0424,0.0424,0.0424,0.0424,349.65
1535650980000,0.0426,0.0426,0.0426,0.0426,349.3
1535651220000,0.0427,0.0427,0.0427,0.0427,1640.56210669
1535653920000,0.042997,0.042997,0.042997,0.042997,10100.0
1535654280000,0.0423,0.0423,0.0423,0.0423,352.25082388
1535658000000,0.042,0.042,0.042,0.042,357.24013619
1535658060000,0.041972,0.041972,0.041972,0.041972,640.75986381
1535660280000,0.0425,0.0425,0.0425,0.0425,356.88289605
1535660880000,0.043,0.043,0.043,0.043,349.65
1535664060000,0.043,0.043,0.043,0.043,12038.0
1535666580000,0.043832,0.043832,0.043832,0.043832,3108.108
1535666820000,0.043832,0.043997,0.043997,0.043832,1604.2
1535667900000,0.043997,0.043997,0.043997,0.043997,143.892
1535705880000,0.043832,0.043832,0.043832,0.043832,685.0
1535711220000,0.043827,0.043827,0.043827,0.043827,3005.52989204
1535711940000,0.042999,0.043,0.043,0.042999,3310.97516505
1535712300000,0.043576,0.043576,0.043576,0.043576,555.089
1535712420000,0.043576,0.043576,0.043576,0.043576,2294.84119698
1535726700000,0.043716000000000005,0.043716000000000005,0.043716000000000005,0.043716000000000005,310.0
